epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,319.369,1.47613,4.03488,1.48008,0.204,0.36284,0.22469,0.12777,1.46863,3.24221,1.40626,0.000413411,0.000413411,0.000413411
2,636.915,1.37416,3.2454,1.44007,0.59564,0.59914,0.50035,0.26514,1.3613,3.34673,1.3189,0.0007479,0.0007479,0.0007479
3,953.198,1.32678,2.7034,1.381,0.58826,0.51966,0.59809,0.32228,1.47432,2.59461,1.34756,0.000999889,0.000999889,0.000999889
4,1271.04,1.28192,2.20601,1.33801,0.64842,0.61155,0.74083,0.47389,1.23907,2.02476,1.26307,0.00087875,0.00087875,0.00087875
5,1587.98,1.2357,1.92002,1.32505,0.64414,0.76457,0.76895,0.45798,1.27591,1.8546,1.21763,0.000755,0.000755,0.000755
6,2094.6,1.20061,1.75755,1.26971,0.94113,0.67809,0.79301,0.52037,1.13477,1.83356,1.18934,0.00063125,0.00063125,0.00063125
7,2647.61,1.10699,1.61551,1.21842,0.66513,0.76833,0.80667,0.52996,1.15987,1.6569,1.18214,0.0005075,0.0005075,0.0005075
8,3407.44,1.05057,1.38429,1.18448,0.78613,0.78097,0.81917,0.57002,1.14881,1.42658,1.14844,0.00038375,0.00038375,0.00038375
9,4009.99,1.00006,1.26235,1.16308,0.71579,0.87129,0.82995,0.59882,1.06122,1.30409,1.12841,0.00026,0.00026,0.00026
10,4511.59,0.96739,1.19414,1.14045,0.78009,0.82832,0.84327,0.63106,1.0289,1.18814,1.11327,0.00013625,0.00013625,0.00013625
