epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,355.688,1.44094,3.24119,1.45962,0.34843,0.44254,0.36903,0.21612,1.35202,3.23205,1.31244,0.000413411,0.000413411,0.000413411
2,703.333,1.37762,2.51212,1.33593,0.39352,0.60965,0.49282,0.25945,1.53252,2.66053,1.36738,0.00082186,0.00082186,0.00082186
3,1048.13,1.37041,2.21962,1.35771,0.69235,0.35806,0.46029,0.24063,1.61246,3.7495,1.39958,0.00122206,0.00122206,0.00122206
4,1388.41,1.32068,1.94359,1.31195,0.57857,0.73377,0.63765,0.38099,1.45102,2.27819,1.32686,0.00121287,0.00121287,0.00121287
5,1730.2,1.2601,1.73086,1.26727,0.54895,0.65237,0.74623,0.46539,1.31852,2.1584,1.25339,0.0012005,0.0012005,0.0012005
6,2069.92,1.24597,1.63681,1.2587,0.86026,0.58372,0.76266,0.49518,1.25873,1.83551,1.23023,0.00118812,0.00118812,0.00118812
7,2407.41,1.2502,1.58656,1.24251,0.67379,0.79446,0.79385,0.50109,1.21809,1.51364,1.17301,0.00117575,0.00117575,0.00117575
8,2825.28,1.2001,1.44112,1.2455,0.78708,0.74291,0.84171,0.53558,1.25514,1.53207,1.25493,0.00116337,0.00116337,0.00116337
9,3246.85,1.1604,1.31909,1.20887,0.723,0.67386,0.75239,0.45162,1.32168,1.50832,1.21453,0.001151,0.001151,0.001151
10,3669.93,1.17197,1.28075,1.21801,0.64473,0.76449,0.81113,0.39391,1.60449,1.47854,1.38192,0.00113863,0.00113863,0.00113863
11,4056.14,1.12475,1.21315,1.18751,0.60905,0.76951,0.7554,0.46497,1.26192,1.4238,1.29423,0.00112625,0.00112625,0.00112625
12,4451.94,1.08078,1.2134,1.17519,0.61918,0.84762,0.82747,0.58172,1.16596,1.32678,1.20735,0.00111388,0.00111388,0.00111388
13,4850.82,1.12217,1.18039,1.197,0.70184,0.82237,0.86855,0.57217,1.23456,1.31601,1.26814,0.0011015,0.0011015,0.0011015
14,5241.31,1.13528,1.1708,1.21584,0.69538,0.84031,0.85305,0.55975,1.24438,1.21548,1.21468,0.00108913,0.00108913,0.00108913
15,5641.28,1.06903,1.07153,1.15701,0.74894,0.84368,0.89094,0.63091,1.09444,1.06602,1.12946,0.00107675,0.00107675,0.00107675
16,6120.42,1.09894,1.11264,1.18699,0.84131,0.83291,0.87284,0.60963,1.0819,1.14559,1.14258,0.00106437,0.00106437,0.00106437
17,6454.7,1.07289,1.06269,1.1697,0.78823,0.83613,0.86769,0.57002,1.15303,1.09783,1.14664,0.001052,0.001052,0.001052
18,6780.95,1.06,1.06196,1.16412,0.71339,0.84254,0.86753,0.59139,1.13006,1.36243,1.18751,0.00103962,0.00103962,0.00103962
19,7124.7,1.01656,1.00817,1.14823,0.71814,0.85367,0.86117,0.5946,1.14113,1.09499,1.18442,0.00102725,0.00102725,0.00102725
20,7501.42,1.01811,0.97197,1.15053,0.81186,0.85951,0.91233,0.64339,1.09909,0.92602,1.16167,0.00101488,0.00101488,0.00101488
21,7826.36,1.01628,0.97369,1.15101,0.85399,0.83617,0.8919,0.64466,1.0332,0.9569,1.12008,0.0010025,0.0010025,0.0010025
22,8150.34,1.02634,0.96478,1.15321,0.80651,0.8626,0.89896,0.64747,1.0757,0.95862,1.13595,0.000990125,0.000990125,0.000990125
23,8473.07,1.00857,0.95414,1.12919,0.91526,0.87992,0.91706,0.62607,1.09581,0.95138,1.1456,0.00097775,0.00097775,0.00097775
